SCHOOL,STATE,CITY,PROGRAM,DEPARTMENT,PGRM_CAT,DEPT_CAT,TYPE,DELIVERY,LINK
Columbia University in the City of New York,New York,New York,ms - masters in data science,institute for data sciences and engineering,DS,dept ds,MS,Campus,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum
Columbia University in the City of New York,New York,New York,ms - masters in data science,institute for data sciences and engineering,DS,dept engineering,MS,Campus,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/curriculum
Columbia University in the City of New York,New York,New York,master of science in applied analytics,school of professional studies,NA,NA,MS,Campus or online,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics
Columbia University in the City of New York,New York,New York,"masters of science in computer science, concentration in machine learning",fu foundation school of engineering and applied science,CS,dept engineering,MS,Campus,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics/admissions/apply
Cornell University,New York,Ithaca,master of professional studies (mps) in applied statistics (option ii: data science),department of statistical science,DS,dept stats,M,Campus,http://stat.cornell.edu/academics/mps
Cornell University,New York,Ithaca,master of professional studies (mps) in applied statistics (option ii: data science),department of statistical science,Stats,dept stats,M,Campus,http://stat.cornell.edu/academics/mps
CUNY Bernard M Baruch College,New York,New York,advanced certificate in business analytics of large-scale data,school of business,BI Analytics,dept business,C,Campus,http://www.csi.cuny.edu/catalog/graduate/advanced-certificate-in-business-analytics-of-large-scale-data.htm
CUNY Graduate School and University Center,New York,New York,online master of science in data analytics,cuny school of professional studies,NA,NA,MS,Online,https://sps.cuny.edu/academics/graduate/master-science-data-analytics-ms
CUNY Queens College,New York,Flushing,ma in data analytics & applied social research,sociology department,NA,NA,M,Campus,http://qcbigdata.com/program/
Dakota State University,South Dakota,Madison,master of science in analytics (msa),graduate office,NA,NA,MS,Online,http://dsu.edu/graduate-students/msa
Davenport University,Michigan,Grand Rapids,master of science in health informatics and information management,college of health professions,IM,NA,MS,Campus,http://www.davenport.edu/college-health-professions/programs-and-degrees/master-science-informatics-and-information-
DePaul University,Illinois,Chicago,information systems (ms) - business intelligence concentration,college of computing and digital media,BI Analytics,NA,MS,Campus,http://www.depaul.edu/university-catalog/degree-requirements/graduate/cdm/information-systems-ms/concentrations/Pages/business-intelligence.aspx
DePaul University,Illinois,Chicago,information systems (ms) - business intelligence concentration,college of computing and digital media,IT IS,NA,MS,Campus,http://www.depaul.edu/university-catalog/degree-requirements/graduate/cdm/information-systems-ms/concentrations/Pages/business-intelligence.aspx
DePaul University,Illinois,Chicago,m.s. in predictive analytics,college of computing and digital media,NA,NA,MS,Online,http://www.cdm.depaul.edu/Prospective%20Students/Pages/MastersDegreeStudents.aspx
Drexel University,Pennsylvania,Philadelphia,online master's in health informatics,college of computing and informatics,NA,NA,M,Online,http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext
Drexel University,Pennsylvania,Philadelphia,m.s. in business analytics,lebow college of business,BI Analytics,dept business,MS,Campus,http://online.drexel.edu/online-degrees/information-sciences-degrees/cert-hci/index.aspx#admissionscriteria
Drexel University,Pennsylvania,Philadelphia,certificate in healthcare informatics,drexel university's institute for healthcare informatics,NA,NA,C,Online,http://online.drexel.edu/online-degrees/information-sciences-degrees/cert-hci/index.aspx
Duke University,North Carolina,Durham,master of quantitative management,fuqua school of business,NA,dept business,M,Campus,http://www.fuqua.duke.edu/master-quantitative-management/
Eastern Michigan University,Michigan,Ypsilanti,master of arts in applied statistics,department of mathematics,Stats,dept math,M,Campus,http://www.emich.edu/cob/mba/requirements/index.php
Eastern Michigan University,Michigan,Ypsilanti,enterprise business intelligence specialization in the master of business administration (mba),college of business; computer information systems department,BI Analytics,dept business,MBA,Campus,http://www.emich.edu/cob/departments_centers/computer_information_systems.php
Eastern Michigan University,Michigan,Ypsilanti,enterprise business intelligence specialization in the master of business administration (mba),college of business; computer information systems department,BI Analytics,dept cs,MBA,Campus,http://www.emich.edu/cob/departments_centers/computer_information_systems.php
Elmhurst College,Illinois,Elmhurst,master in health informatics,school for professional studies,NA,NA,M,Online,http://public.elmhurst.edu/data_science/227876081.html
Elmhurst College,Illinois,Elmhurst,graduate certificate in data science,elmhurst college online center,DS,NA,C,Online,http://public.elmhurst.edu/data_science/227880201.html
Elmhurst College,Illinois,Elmhurst,m.s. in data science,elmhurst college online center,DS,NA,MS,Online,http://www.elmhurst.edu/data_science/227880971.html
Emporia State University,Kansas,Emporia,ms informatics,school of library and information management,NA,dept business,MS,Online,http://www.emporia.edu/info/degrees-courses/grad/informatics
Florida International University,Florida,Miami,master of science in health informatics and management systems,chapman graduate school of business,NA,dept business,MS,Campus,http://business.fiu.edu/fiubusiness/mshims.cfm
Fordham University,New York,Bronx,master's in data analytics,department of computer & information science,NA,dept cs,M,Campus,http://www.bnet.fordham.edu/academic_bulletin/2015/admissions_enrollment/Degree_Program_Admissions/index.asp
Fordham University,New York,Bronx,master of science in business analytics,graduate school of business,BI Analytics,dept business,MS,Campus,http://www.bnet.fordham.edu/academic_bulletin/2015/ms/MS_Business_Analytics/index.asp
Full Sail University,Florida,Winter Park,master of science in business intelligence,full sail university,BI Analytics,NA,MS,Online,http://www.fullsail.edu/degrees/online/business-intelligence-masters
George Mason University,Virginia,Fairfax,ms in computational science,department of computational and data sciences,CS,dept ds,MS,Campus,https://cs.gmu.edu/programs/masters/infs/arequire.html
George Mason University,Virginia,Fairfax,ms in data analytics engineering,volgenau school of engineering,NA,dept engineering,MS,Campus,https://cs.gmu.edu/programs/masters/infs/deg-req.html
George Mason University,Virginia,Fairfax,masters in information systems,department of computer science,IT IS,dept cs,M,Campus,https://cs.gmu.edu/programs/masters/infs/
George Mason University,Virginia,Fairfax,spatial business intelligence graduate certificate,school of management,BI Analytics,dept business,C,Campus,http://studentaccounts.gmu.edu/wp-content/uploads/Spring2015Graduate.pdf
George Washington University,District of Columbia,Washington,certificate in business analytics,"institute for integrating statistics in decision sciences, (i2sds)&com",BI Analytics,dept stats,C,Campus,https://publichealthonline.gwu.edu/health-informatics/academics/
George Washington University,District of Columbia,Washington,ms - master in business analytics,george washington school of business,BI Analytics,dept business,MS,Campus,http://www.gwu.edu/business-analytics
George Washington University,District of Columbia,Washington,master of science in information systems technology,school of business,IT IS,dept business,MS,Campus or online,http://www.gwu.edu/business-analytics
George Washington University,District of Columbia,Washington,master of science in data science,columbian college of arts and sciences,DS,NA,MS,Campus,https://publichealthonline.gwu.edu/health-informatics/tuition-financial-aid/
George Washington University,District of Columbia,Washington,online ms in management of health informatics and analytics,milken institute school of public health,NA,NA,MS,Online,https://publichealthonline.gwu.edu/health-informatics/
Georgetown University,District of Columbia,Washington,certificate in data science,center for continuing & professional education,DS,NA,C,Campus,http://scs.georgetown.edu/programs_nc/CE0124/data-analytics
Georgetown University,District of Columbia,Washington,"master of science in analytics, concentration in data sciences (ms-ds)",graduate school of arts & sciences,DS,NA,MS,Campus,http://scs.georgetown.edu/admissions/how-to-apply/ccpe/
Georgia Southern University,Georgia,Statesboro,m.s. - computer science with concentration in data mining and data warehousing,department of computer sciences,CS,dept cs,MS,Online,http://ceit.georgiasouthern.edu/cs/degrees/mscs/
Georgia Southern University,Georgia,Statesboro,m.s. - computer science with concentration in data mining and data warehousing,department of computer sciences,BI Analytics,dept cs,MS,Online,http://ceit.georgiasouthern.edu/cs/degrees/mscs/
Georgia State University,Georgia,Atlanta,master of science in analytics,robinson college of business,NA,dept business,MS,Campus,http://specialized.robinson.gsu.edu/msa/
Georgia Tech,Georgia,Atlanta,ms - computer science with specialization in machine learning,college of computing,CS,NA,MS,Campus,http://www.cc.gatech.edu/future/masters/mscs/program
Georgia Tech,Georgia,Atlanta,ms in analytics,"colleges of business, computing, and engineering",NA,dept business,MS,Campus,http://www.cc.gatech.edu/academics/degree-programs/masters/computer-science/admissionreqs
Georgia Tech,Georgia,Atlanta,ms in analytics,"colleges of business, computing, and engineering",NA,dept engineering,MS,Campus,http://www.cc.gatech.edu/academics/degree-programs/masters/computer-science/admissionreqs
Grand Valley State University,Michigan,Allendale,master of science in biostatistics,college of liberal arts and sciences,Stats,NA,MS,Campus,http://catalog.gvsu.edu/preview_program.php?catoid=38&poid=5264&hl=%22master+of+science+in+biostatistics%22&returnto=search
Grantham University,Missouri,Kansas City,master of science in business intelligence,business,BI Analytics,dept business,MS,Online,http://rmi.grantham.edu/programs/master-of-science-in-business-intelligence
Harrisburg University of Science and Technology,Pennsylvania,Harrisburg,online master of science in analytics,graduate education,NA,NA,MS,Online,http://www.harrisburgu.edu/academics/graduate/analytics/online-analytics.php
Harvard University,Massachusetts,Cambridge,master of science in computational biology and quantitative genetics,school of public health,NA,NA,MS,Campus,http://www.extension.harvard.edu/tuition-enrollment/course-registration
Harvard University,Massachusetts,Cambridge,data science certificate,extension school,DS,NA,C,Campus,http://www.extension.harvard.edu/professional-certificates/data-science-certificate
Harvard University,Massachusetts,Cambridge,master of science in computational science and engineering,school of engineering and applied sciences,CS,dept engineering,MS,Campus,http://www.extension.harvard.edu/professional-certificates/data-science-certificate
Hawaii Pacific University,Hawaii,Honolulu,professional certificate in business analytics,hpu college of business administration,BI Analytics,dept business,C,Online,http://www.hpu.edu/Academic%20Catalog/degree_requirements/graduate_certificates/COB/CERT-BA.html
Illinois Institute of Technology,Illinois,Chicago,master of data science,college of science,DS,NA,M,Online,http://science.iit.edu/programs/graduate/master-data-science
Illinois Institute of Technology,Illinois,Chicago,ms - cs specialization in data analytics (with co-terminal bs/ms option),college of science,NA,NA,MS,Campus,http://science.iit.edu/programs/professional-masters/master-data-science/master-data-science-frequently-asked-questions
Indiana University-Purdue University-Indianapolis,Indiana,Indianapolis,m.s. in mathematics: applied statistics,department of mathematical sciences,Stats,dept math,MS,Campus,http://math.iupui.edu/graduate/degrees/ms/stats
Indiana University-Purdue University-Indianapolis,Indiana,Indianapolis,master of science in bioinformatics,department of biohealth informatics,NA,NA,MS,Campus,http://math.iupui.edu/graduate/admissions
Indiana University Bloomington,Indiana,Bloomington,business analytics certificate program,kelley school of business: department of operations and decision technologi,BI Analytics,dept business,C,Campus,http://www.kelley.iu.edu/ODT/AboutUs/DecisionSciences/page11147.html
Indiana University Bloomington,Indiana,Bloomington,business analytics certificate program,kelley school of business: department of operations and decision technologi,BI Analytics,dept tech,C,Campus,http://www.kelley.iu.edu/ODT/AboutUs/DecisionSciences/page11147.html
Indiana University Bloomington,Indiana,Bloomington,master of science in data science,school of informatics and computing,DS,NA,MS,Campus or online,http://kelley.iu.edu/EDP/certificates/business-analytics/business-analytics.html
Indiana University Bloomington,Indiana,Bloomington,mba (major in business analytics),kelley school of business,BI Analytics,dept business,MBA,Campus,http://kelley.iu.edu/EDP/Certificate/BACP/page20960.html
Indiana University Bloomington,Indiana,Bloomington,online certificate in data science (graduate),school of informatics and computing,DS,NA,C,Online,http://kelley.iu.edu/onlineMBA/Admissions/FinancialAid/page36803.html
Indiana University Bloomington,Indiana,Bloomington,online ms in business analytics,kelley school of business,BI Analytics,dept business,MS,Online,http://www.soic.indiana.edu/graduate/degrees/data-science/ms-data-science/index.html
Indiana University Bloomington,Indiana,Bloomington,ph.d. minor in data science,school of informatics and computing,DS,NA,PhD,Campus or online,http://www.soic.indiana.edu/graduate/degrees/data-science/graduate/index.html
Jacksonville University,Florida,Jacksonville,master of science in health informatics,not available,NA,NA,MS,Online,http://www.jacksonvilleu.com/programs/masters-degree/ms-health-informatics/
Johns Hopkins University,Maryland,Baltimore,master of science in information systems,carey business school,IT IS,dept business,MS,Campus,http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/
Johns Hopkins University,Maryland,Baltimore,online post-master's certificate in quantitative methods,advanced academic programs,NA,NA,C,Online,http://advanced.jhu.edu/academics/graduate-degree-programs/applied-economics/
Johns Hopkins University,Maryland,Baltimore,online master of science in government analytics,advanced academic programs,NA,NA,MS,Campus or online,http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/
Johns Hopkins University,Maryland,Baltimore,online post-bachelor's certificate in government analytics,advanced academic programs,NA,NA,C,Online,http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/
Johns Hopkins University,Maryland,Baltimore,online master of science in applied economics,advanced academic programs,NA,NA,MS,Online,http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/
Kansas State University,Kansas,Manhattan,applied statistics certificate,k-state graduate school,Stats,NA,C,Online,http://global.k-state.edu/artsci/applied-stats/
Kennesaw State University,Georgia,Kennesaw,master of science in applied statistics,department of mathematics & statistics,Stats,dept math,MS,Campus,https://analytics.kennesaw.edu/academics/grad/MSAS/index.html
Kennesaw State University,Georgia,Kennesaw,master of science in applied statistics,department of mathematics & statistics,Stats,dept stats,MS,Campus,https://analytics.kennesaw.edu/academics/grad/MSAS/index.html
Kennesaw State University,Georgia,Kennesaw,online certificate in applied statistics,department of statistics and analytical sciences,Stats,dept stats,C,Online,http://csm.kennesaw.edu/statistics/msas/index.php
Kennesaw State University,Georgia,Kennesaw,ph.d. in analytics and data science,college of science & mathematics,DS,dept math,PhD,Campus,https://analytics.kennesaw.edu/academics/grad/MSAS/msas-curr.html
Lewis University,Illinois,Romeoville,online master of science in data science,not available,DS,NA,MS,Online,http://online.lewisu.edu/msds/data-science.asp
Lewis University,Illinois,Romeoville,"business analytics, m.s.",college of business,BI Analytics,dept business,MS,Online,http://online.lewisu.edu/admissions/application-checklist
Loras College,Iowa,Dubuque,executive mba in business analytics,loras college,BI Analytics,NA,MBA,Campus,http://www.loras.edu/academics/graduate/mba-business-analytics/
Louisiana State University,Louisiana,Baton Rouge,master of science in analytics,department of information systems & decision sciences,NA,NA,MS,Campus,http://businessanalytics.lsu.edu/
Loyola University Chicago,Illinois,Chicago,graduate certificate in business intelligence and data warehousing,quinlan school of business,BI Analytics,dept business,C,Campus,http://www.luc.edu/quinlan/mba/academics/certificates-data-warehousing/
Loyola University Chicago,Illinois,Chicago,m.s. in applied statistics,mathematics and statistics,Stats,dept math,MS,Campus,http://www.luc.edu/quinlan/certificates/index.shtml
Loyola University Chicago,Illinois,Chicago,m.s. in applied statistics,mathematics and statistics,Stats,dept stats,MS,Campus,http://www.luc.edu/quinlan/certificates/index.shtml
Loyola University Maryland,Maryland,Baltimore,master of science in data science,computer science department,DS,dept cs,MS,Campus or online,http://www.loyola.edu/academics/data-science
Manhattan College,New York,Riverdale,m.s. in applied mathematics - data analytics,school of science,NA,NA,MS,Campus,http://manhattan.edu/academics/science/math/graduate-programs
Marist College,New York,Poughkeepsie,advanced certificate in business analytics,school of computer science and mathematics,BI Analytics,dept math,C,Online,http://www.marist.edu/admission/graduate/business-analytics/
Marist College,New York,Poughkeepsie,advanced certificate in business analytics,school of computer science and mathematics,BI Analytics,dept cs,C,Online,http://www.marist.edu/admission/graduate/business-analytics/
Massachusetts Institute of Technology,Massachusetts,Cambridge,master of business analytics,sloan school of management,BI Analytics,dept business,M,Campus,http://mitsloan.mit.edu/master-of-business-analytics/
Medical University of South Carolina,South Carolina,Charleston,master of science in health informatics,college of health professions,NA,NA,MS,Online,http://academicdepartments.musc.edu/chp/MSHI/
Mercer University,Georgia,Macon,m.s. in business analytics,stetson school of business and economics,BI Analytics,dept business,MS,Campus,http://business.mercer.edu/programs/business-analytics/
Michigan State University,Michigan,East Lansing,m.s. - business analytics,broad college of business,BI Analytics,dept business,MS,Campus,http://broad.msu.edu/businessanalytics/
Michigan State University,Michigan,East Lansing,master of science in applied statistics,department of statistics and probability (college of natural sciences),Stats,dept stats,MS,Campus,http://accounting.broad.msu.edu/welcome/ms-business-analytics/admission-requirements/
Middle Tennessee State University,Tennessee,Murfreesboro,master of science in information systems (business intelligence and analytics concentration),department of computer information systems,BI Analytics,dept cs,MS,Campus,http://www.mtsu.edu/programs/information-systems-ms/index.php#t-0
Middle Tennessee State University,Tennessee,Murfreesboro,master of science in information systems (business intelligence and analytics concentration),department of computer information systems,IT IS,dept cs,MS,Campus,http://www.mtsu.edu/programs/information-systems-ms/index.php#t-0
Middle Tennessee State University,Tennessee,Murfreesboro,master of science in professional science (m.s.) with a concentration in health care informatics,college of basic and applied sciences,NA,NA,MS,Campus,http://www.mtsu.edu/programs/information-systems-ms/index.php#t-0
Misericordia University,Pennsylvania,Dallas,health care informatics graduate certificate,college of health sciences,NA,NA,C,Online,http://www.misericordia.edu/page.cfm?p=1117
Misericordia University,Pennsylvania,Dallas,health informatics master's program,college of health sciences,NA,NA,M,Online,http://www.misericordia.edu/page.cfm?p=1117
Missouri University of Science and Technology,Missouri,Rolla,graduate certificate in business analytics and data science,department of business and information technology,BI Analytics,dept business,C,Online,http://dce.mst.edu/credit/certificates/businessanalyticsanddatascience/
Missouri University of Science and Technology,Missouri,Rolla,graduate certificate in business analytics and data science,department of business and information technology,BI Analytics,dept tech,C,Online,http://dce.mst.edu/credit/certificates/businessanalyticsanddatascience/
National University,California,La Jolla,master of science in data analytics,"school of engineering, technology and media",NA,dept engineering,MS,Campus,http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html
National University,California,La Jolla,master of science in data analytics,"school of engineering, technology and media",NA,dept tech,MS,Campus,http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html
